Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,9:16:40 PM,45,62,47
Apr 12, 2018,9:16:40 PM,45,62,47
Apr 12, 2018,9:16:40 PM,45,62,47
Apr 12, 2018,9:16:41 PM,46,62,47
Apr 12, 2018,9:16:41 PM,46,62,47
Apr 12, 2018,9:16:41 PM,47,62,47
Apr 12, 2018,9:16:41 PM,48,62,47
Apr 12, 2018,9:16:41 PM,49,62,47
Apr 12, 2018,9:16:42 PM,51,62,47
Apr 12, 2018,9:16:42 PM,47,62,47
Apr 12, 2018,9:16:42 PM,46,62,47
Apr 12, 2018,9:16:42 PM,49,62,47
Apr 12, 2018,9:16:42 PM,49,62,47
Apr 12, 2018,9:16:43 PM,49,62,47
Apr 12, 2018,9:16:43 PM,47,62,47
Apr 12, 2018,9:16:43 PM,47,62,47
Apr 12, 2018,9:16:43 PM,49,62,47
Apr 12, 2018,9:16:43 PM,50,62,47
Apr 12, 2018,9:16:44 PM,52,62,47
Apr 12, 2018,9:16:44 PM,52,62,47
Apr 12, 2018,9:16:44 PM,50,62,47
Apr 12, 2018,9:16:44 PM,48,62,47
Apr 12, 2018,9:16:44 PM,47,62,47
Apr 12, 2018,9:16:45 PM,49,62,47
Apr 12, 2018,9:16:45 PM,50,62,47
Apr 12, 2018,9:16:45 PM,48,62,47
Apr 12, 2018,9:16:45 PM,48,62,47
Apr 12, 2018,9:16:45 PM,47,62,47
Apr 12, 2018,9:16:46 PM,48,62,47
Apr 12, 2018,9:16:46 PM,48,62,47
Apr 12, 2018,9:16:46 PM,47,62,47
Apr 12, 2018,9:16:46 PM,49,62,47
Apr 12, 2018,9:16:46 PM,50,62,47
Apr 12, 2018,9:16:47 PM,51,62,47
Apr 12, 2018,9:16:47 PM,53,62,47
Apr 12, 2018,9:16:47 PM,49,62,47
Apr 12, 2018,9:16:47 PM,47,62,47
Apr 12, 2018,9:16:47 PM,48,62,47
Apr 12, 2018,9:16:48 PM,48,62,47
Apr 12, 2018,9:16:48 PM,47,62,47
Apr 12, 2018,9:16:48 PM,47,62,47
Apr 12, 2018,9:16:48 PM,46,62,47
Apr 12, 2018,9:16:48 PM,46,62,47
Apr 12, 2018,9:16:49 PM,47,62,47
Apr 12, 2018,9:16:49 PM,46,62,47
Apr 12, 2018,9:16:49 PM,46,62,47
Apr 12, 2018,9:16:49 PM,47,62,47
Apr 12, 2018,9:16:49 PM,46,62,47
Apr 12, 2018,9:16:50 PM,46,62,47
Apr 12, 2018,9:16:50 PM,47,62,47
Apr 12, 2018,9:16:50 PM,48,62,47
Apr 12, 2018,9:16:50 PM,49,62,47
Apr 12, 2018,9:16:50 PM,47,62,47
Apr 12, 2018,9:16:51 PM,46,62,47
Apr 12, 2018,9:16:51 PM,46,62,47
Apr 12, 2018,9:16:51 PM,46,62,47
Apr 12, 2018,9:16:51 PM,46,62,47
Apr 12, 2018,9:16:51 PM,46,62,47
Apr 12, 2018,9:16:52 PM,46,62,47
Apr 12, 2018,9:16:52 PM,46,62,47
Apr 12, 2018,9:16:52 PM,47,62,47
Apr 12, 2018,9:16:52 PM,48,62,47
Apr 12, 2018,9:16:52 PM,47,62,47
Apr 12, 2018,9:16:53 PM,47,62,47
Apr 12, 2018,9:16:53 PM,48,62,47
Apr 12, 2018,9:16:53 PM,48,62,47
Apr 12, 2018,9:16:53 PM,48,62,47
Apr 12, 2018,9:16:53 PM,48,62,47
Apr 12, 2018,9:16:54 PM,47,62,47
Apr 12, 2018,9:16:54 PM,47,62,47
Apr 12, 2018,9:16:54 PM,48,62,47
Apr 12, 2018,9:16:54 PM,49,62,47
Apr 12, 2018,9:16:54 PM,50,62,47
Apr 12, 2018,9:16:55 PM,50,62,47
